Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
reuters.csv,1,707,1,707,0,0,8.368249000000105,675,0
reuters.csv,1,707,1,707,0,0,11.959552999999689,472,0
reuters.csv,1,719,1,719,0,0,0.1082989999995334,53112,0
reuters.csv,1,719,1,719,0,0,0.1323769999999058,43451,0
reuters.csv,1,719,1,719,0,0,0.334646000000248,17188,0
reuters.csv,1,719,1,719,0,0,0.1010559999995166,56918,0
reuters.csv,1,719,1,719,0,0,0.1320580000001427,43556,0
reuters.csv,1,719,1,719,0,0,7.475765000000138,769,0
reuters.csv,1,719,1,719,0,0,7.475721000000703,769,0
wikipedia.csv,1,718,1,718,0,0,120.66624199999995,47,0
wikipedia.csv,1,718,1,718,0,0,120.20614099999987,47,0
wikipedia.csv,1,719,1,719,0,0,117.26773300000012,49,0
wikipedia.csv,1,718,1,718,0,0,0.0705390000002808,81430,0
wikipedia.csv,1,718,1,718,0,0,0.0716089999996256,80213,0
wikipedia.csv,1,718,1,718,0,0,0.0730390000003353,78642,0
wikipedia.csv,1,718,1,718,0,0,0.0833940000002257,68877,0
wikipedia.csv,1,720,1,720,0,0,0.0691759999999703,83265,0
wikipedia.csv,1,719,1,719,0,0,50.92191200000025,112,0
wikipedia.csv,1,718,1,718,0,0,0.0620009999997819,92643,0
wikipedia.csv,1,718,1,718,0,0,0.056047000000035,102485,0
wikipedia.csv,1,718,1,718,0,0,50.367407000000185,114,0
wikipedia.csv,1,719,1,719,0,0,79.35351200000014,72,0
wikipedia.csv,1,718,1,718,0,0,0.0665919999996731,86256,0
wikipedia.csv,1,718,1,718,0,0,85.4330689999997,67,0
wikipedia.csv,1,718,1,718,0,0,34.89159099999961,164,0
wikipedia.csv,1,718,1,718,0,0,17.505765000000338,328,0
wikipedia.csv,1,718,1,718,0,0,22.11592900000005,259,0
wikipedia.csv,1,718,1,718,0,0,26.84277799999973,213,0
wikipedia.csv,1,719,1,719,0,0,29.669310000000223,193,0
wikipedia.csv,1,718,1,718,0,0,0.0298309999998309,192551,0
wikipedia.csv,1,718,1,718,0,0,29.476873999999956,194,0
wikipedia.csv,1,718,1,718,0,0,43.18776600000001,133,0
wikipedia.csv,1,718,1,718,0,0,25.92579999999998,221,0
wikipedia.csv,1,718,1,718,0,0,23.370004999999765,245,0
wikipedia.csv,1,718,1,718,0,0,91.11751200000026,63,0
wikipedia.csv,1,718,1,718,0,0,61.98735600000009,92,0
wikipedia.csv,1,718,1,718,0,0,41.92204899999979,137,0
wikipedia.csv,1,718,1,718,0,0,24.15099899999996,237,0
wikipedia.csv,1,719,1,719,0,0,24.43098900000041,235,0
wikipedia.csv,1,718,1,718,0,0,0.0584090000002106,98341,0
wikipedia.csv,1,718,1,718,0,0,66.03702000000021,86,0
wikipedia.csv,1,719,1,719,0,0,26.902393000000306,213,0
wikipedia.csv,1,718,1,718,0,0,0.0310180000001309,185182,0
wikipedia.csv,1,718,1,718,0,0,37.44693099999995,153,0
wikipedia.csv,1,718,1,718,0,0,10.755689000000077,534,0
wikipedia.csv,1,718,1,718,0,0,36.70402400000012,156,0
wikipedia.csv,1,718,1,718,0,0,57.82324300000028,99,0
wikipedia.csv,1,718,1,718,0,0,37.69065799999999,152,0
wikipedia.csv,1,718,1,718,0,0,44.00151899999992,130,0
wikipedia.csv,1,718,1,718,0,0,63.333916000000045,90,0
