Website,Time,Length,Protocol,Info
4,35.382141,92,1,6
4,35.382288,92,1,6
4,35.382288,92,1,6
4,35.390538,126,0,15
4,35.390538,93,0,15
4,35.390769,93,0,15
4,35.393296,126,0,15
4,35.393401,93,0,15
4,35.396078,54,1,6
4,35.396143,93,0,15
4,35.398127,54,1,6
4,35.400281,1466,1,6
4,35.400306,1466,1,6
4,35.400332,1466,1,6
4,35.400363,287,0,15
4,35.414486,92,1,6
4,35.414486,92,1,6
4,35.419768,92,1,6
4,35.425358,606,0,15
4,35.425575,1466,0,15
4,35.425671,1466,0,15
4,35.425874,1466,0,15
4,35.426239,1466,0,15
4,35.426239,1466,0,15
4,35.426329,1466,0,15
4,35.426329,1466,0,15
4,35.426329,1466,0,15
4,35.426329,1214,0,11
4,35.426329,93,0,15
4,35.430862,54,1,6
4,35.430936,54,1,6
4,35.430967,54,1,6
4,35.430992,54,1,6
4,35.431016,54,1,6
4,35.431049,93,0,15
4,35.436231,128,0,15
4,35.436339,1466,0,15
4,35.4366,1466,0,15
4,35.4366,1466,0,15
4,35.4366,1466,0,15
4,35.43993,54,1,6
4,35.440023,54,1,6
4,35.440037,54,1,6
4,35.440048,54,1,6
4,35.448915,1466,0,15
4,35.448915,1466,0,15
4,35.448915,1466,0,15
4,35.448915,1466,0,15
4,35.448915,1189,0,11
4,35.451482,92,1,6
4,35.453263,54,1,6
4,35.45331,54,1,6
4,35.453325,54,1,6
4,35.453336,54,1,6
4,35.453347,54,1,6
4,35.498119,1466,1,6
4,35.498145,1466,1,6
4,35.498169,1092,0,15
4,35.498204,1466,1,6
4,35.498235,1466,1,6
4,35.498265,276,0,15
4,35.509966,92,1,6
4,35.510165,92,1,6
4,35.510176,92,1,6
4,35.510297,92,1,6
4,35.56027,582,0,15
4,35.56027,1466,0,15
4,35.56037,512,0,15
4,35.560424,93,0,15
4,35.560424,93,0,15
4,35.564875,54,1,6
4,35.564902,54,1,6
4,35.564935,93,0,15
4,35.577866,92,1,6
4,35.736647,1466,1,6
4,35.736683,1466,1,6
4,35.736711,1466,1,6
4,35.736746,292,0,15
4,35.749521,92,1,6
4,35.749731,92,1,6
4,35.749747,92,1,6
4,35.766665,89,0,15
4,35.768793,128,0,15
4,35.768874,1466,0,15
4,35.769111,1466,0,15
4,35.769111,1466,0,15
4,35.769111,657,0,15
4,35.769111,303,0,15
4,35.769111,93,0,15
4,35.772639,54,1,6
4,35.772706,54,1,6
4,35.772731,54,1,6
4,35.772749,54,1,6
4,35.772767,93,0,15
4,35.782366,92,1,6
4,35.78565,92,1,6
4,36.07436,1466,1,6
4,36.074388,1466,1,6
4,36.074414,1466,1,6
4,36.074426,923,0,15
4,36.08973,92,1,6
4,36.089876,92,1,6
4,36.089908,92,1,6
4,36.115339,126,0,15
4,36.115339,93,0,15
4,36.116009,93,0,15
4,36.119505,1466,1,6
4,36.119558,1466,1,6
4,36.119576,1466,1,6
4,36.119591,923,0,15
4,36.119622,54,1,6
4,36.11966,93,0,15
4,36.138639,92,1,6
4,36.138712,92,1,6
4,36.139671,92,1,6
4,36.15714,126,0,15
4,36.15714,93,0,15
4,36.160149,93,0,15
4,36.168201,54,1,6
4,36.17392,93,0,15
4,36.190253,92,1,6
4,36.190926,1466,1,6
4,36.191012,1466,1,6
4,36.191044,1466,1,6
4,36.19107,887,0,15
4,36.203095,1466,1,6
4,36.20312,1466,1,6
4,36.203153,1466,1,6
4,36.203179,660,0,15
4,36.204376,92,1,6
4,36.204376,92,1,6
4,36.206403,92,1,6
4,36.21569,92,1,6
4,36.21569,92,1,6
4,36.21569,92,1,6
4,36.231901,126,0,15
4,36.231901,93,0,15
4,36.232645,93,0,15
4,36.235609,54,1,6
4,36.238398,126,0,15
4,36.239039,93,0,15
4,36.239289,93,0,15
4,36.24292,1466,1,6
4,36.24296,1466,1,6
4,36.242973,1466,1,6
4,36.242983,887,0,15
4,36.243021,54,1,6
4,36.255005,92,1,6
4,36.259667,92,1,6
4,36.259667,92,1,6
4,36.259667,92,1,6
4,36.282289,126,0,15
4,36.282304,93,0,15
4,36.283144,93,0,15
4,36.286096,54,1,6
4,36.288172,93,0,15
4,36.308041,1466,1,6
4,36.308118,1466,1,6
4,36.308144,1466,1,6
4,36.308165,599,0,15
4,36.308207,1466,1,6
4,36.308228,1466,1,6
4,36.308237,1466,1,6
4,36.308247,598,0,15
4,36.32357,92,1,6
4,36.32359,92,1,6
4,36.32359,92,1,6
4,36.32711,92,1,6
4,36.349509,126,0,15
4,36.349509,93,0,15
4,36.350477,1466,1,6
4,36.350564,1466,1,6
4,36.350581,1466,1,6
4,36.350597,598,0,15
4,36.354437,54,1,6
4,36.35884,93,0,15
4,36.358852,126,0,15
4,36.358852,93,0,15
4,36.366082,92,1,6
4,36.366473,54,1,6
4,36.366514,93,0,15
4,36.366916,92,1,6
4,36.3839,92,1,6
4,36.399511,126,0,15
4,36.400336,93,0,15
4,36.400336,93,0,15
4,36.404494,54,1,6
4,36.404558,54,1,6
4,36.40458,93,0,15
4,36.431022,92,1,6
4,37.397351,1466,1,6
4,37.397414,1466,1,6
4,37.397431,1102,0,15
4,37.397456,1466,1,6
4,37.397476,1466,1,6
4,37.397495,680,0,15
4,37.420679,92,1,6
4,37.420679,92,1,6
4,37.420702,92,1,6
4,37.421599,92,1,6
4,37.470727,607,0,15
4,37.470727,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.47166,1154,0,15
4,37.47166,325,0,15
4,37.47166,1466,0,15
4,37.47166,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,1466,0,15
4,37.472343,242,0,11
4,37.472343,93,0,15
4,37.475112,54,1,6
4,37.475173,54,1,6
4,37.475195,54,1,6
4,37.475214,54,1,6
4,37.475233,54,1,6
4,37.475251,54,1,6
4,37.475269,54,1,6
4,37.475287,54,1,6
4,37.475306,54,1,6
4,37.475325,54,1,6
4,37.475374,54,1,6
4,37.475396,54,1,6
4,37.475416,54,1,6
4,37.475436,54,1,6
4,37.475455,93,0,15
4,37.488601,92,1,6
4,37.678183,1466,1,6
4,37.678237,1466,1,6
4,37.678251,1466,1,6
4,37.678261,290,0,15
4,37.693489,92,1,6
4,37.693489,92,1,6
4,37.693489,92,1,6
4,37.710212,132,0,15
4,37.711058,1466,0,15
4,37.711066,1466,0,15
4,37.711096,1466,0,15
4,37.711096,1466,0,15
4,37.711108,844,0,15
4,37.711108,106,0,15
4,37.711117,93,0,15
4,37.716362,54,1,6
4,37.716409,54,1,6
4,37.71642,54,1,6
4,37.71643,54,1,6
4,37.71644,93,0,15
4,37.737234,92,1,6
4,38.750549,1466,1,6
4,38.750652,1191,0,15
4,38.750688,1466,1,6
4,38.750715,1466,1,6
4,38.750741,680,0,15
4,38.762041,92,1,6
4,38.764267,92,1,6
4,38.764267,92,1,6
4,38.764524,92,1,6
4,38.810412,609,0,15
4,38.810412,1466,0,15
4,38.810412,1466,0,15
4,38.810412,1466,0,15
4,38.810412,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
