Website,Packets,Bytes,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
wikipedia.csv,1,718,22,4.55,1,718,0,0,0.0705390000002808,81430,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0716089999996256,80213,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0730390000003353,78642,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0833940000002257,68877,0
wikipedia.csv,1,720,21,4.76,1,720,0,0,0.0691759999999703,83265,0
wikipedia.csv,1,719,2878,0.03,1,719,0,0,50.92191200000025,112,0
wikipedia.csv,1,718,22,4.55,1,718,0,0,0.0620009999997819,92643,0
wikipedia.csv,1,718,22,4.55,1,718,0,0,0.056047000000035,102485,0
wikipedia.csv,1,718,2012,0.05,1,718,0,0,50.367407000000185,114,0
wikipedia.csv,1,719,1478,0.07,1,719,0,0,79.35351200000014,72,0
wikipedia.csv,1,718,22,4.55,1,718,0,0,0.0665919999996731,86256,0
wikipedia.csv,1,718,2805,0.04,1,718,0,0,85.4330689999997,67,0
wikipedia.csv,1,718,1120,0.09,1,718,0,0,34.89159099999961,164,0
wikipedia.csv,1,718,277,0.36,1,718,0,0,17.505765000000338,328,0
wikipedia.csv,1,718,366,0.27,1,718,0,0,22.11592900000005,259,0
wikipedia.csv,1,718,1306,0.08,1,718,0,0,26.84277799999973,213,0
wikipedia.csv,1,719,1329,0.08,1,719,0,0,29.669310000000223,193,0
wikipedia.csv,1,718,11,9.09,1,718,0,0,0.0298309999998309,192551,0
wikipedia.csv,1,718,1556,0.06,1,718,0,0,29.476873999999956,194,0
wikipedia.csv,1,718,2645,0.04,1,718,0,0,43.18776600000001,133,0
wikipedia.csv,1,718,1666,0.06,1,718,0,0,25.92579999999998,221,0
wikipedia.csv,1,718,866,0.12,1,718,0,0,23.370004999999765,245,0
wikipedia.csv,1,718,1228,0.08,1,718,0,0,91.11751200000026,63,0
wikipedia.csv,1,718,1523,0.07,1,718,0,0,61.98735600000009,92,0
wikipedia.csv,1,718,1994,0.05,1,718,0,0,41.92204899999979,137,0
wikipedia.csv,1,718,1585,0.06,1,718,0,0,24.15099899999996,237,0
