Website,Length,Protocol,Info
github.csv,1490,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=318002 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=320874 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=323746 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=326266 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=329050 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=331878 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=334618 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=337214 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=340086 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=342958 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=345522 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=348306 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=351178 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=353871 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=356743 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=359615 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=362223 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=365007 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=367791 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=370528 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=6621 Ack=373400 Win=132096 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
